start_point1,start_point2,rho,value
0.8,-0.7,1e-05,0.43015205115549443
-1.2,-0.5999999999999999,1e-05,0.4300613326546887
0.8,-0.5999999999999999,1e-05,0.4301520721979502
-1.2,-0.4999999999999999,1e-05,0.4301375927420022
0.8,-0.4999999999999999,1e-05,0.4301521288147674
-1.2,-0.3999999999999999,1e-05,0.42990584915260244
0.8,-0.3999999999999999,1e-05,0.43015230249793346
-1.2,-0.29999999999999993,1e-05,0.430134848167836
0.8,-0.29999999999999993,1e-05,0.43108994581677135
-1.2,-0.19999999999999996,1e-05,0.43005062941079597
0.8,-0.19999999999999996,1e-05,0.4307104602948177
-1.2,-0.09999999999999987,1e-05,0.4299366521336131
0.8,-0.09999999999999987,1e-05,0.4302084914114544
-1.2,2.220446049250313e-16,1e-05,0.42993046274980773
0.8,2.220446049250313e-16,1e-05,0.4301650882151707
-1.2,0.10000000000000009,1e-05,0.430056952733985
0.8,0.10000000000000009,1e-05,0.43015150897839255
-1.2,0.20000000000000018,1e-05,0.4294419275415463
0.8,0.20000000000000018,1e-05,0.429998852236858
-1.2,0.30000000000000004,1e-05,0.4301265695904004
0.8,0.30000000000000004,1e-05,0.4298048700461701
-1.2,0.40000000000000013,1e-05,0.4295855770763396
0.8,0.40000000000000013,1e-05,0.42965286876599107
-1.2,0.5000000000000002,1e-05,0.43026805369709487
0.8,0.5000000000000002,1e-05,0.4302365739886052
-1.2,0.6000000000000001,1e-05,0.4301520832555854
0.8,0.6000000000000001,1e-05,0.4309101847220028
-1.2,0.7000000000000002,1e-05,0.430155186252611
0.8,0.7000000000000002,1e-05,0.4304786059361273
-1.2,0.8,1e-05,0.4301520358262064
0.8,-1.2,1e-07,0.430152036089504
-1.2,-1.0999999999999999,1e-07,0.4301591024645354
0.8,-1.0999999999999999,1e-07,0.4301520364771851
-1.2,-1.0,1e-07,0.4301572544211246
0.8,-1.0,1e-07,0.43015203726743606
-1.2,-0.8999999999999999,1e-07,0.4301553386677996
0.8,-0.8999999999999999,1e-07,0.43015203893838166
-1.2,-0.7999999999999999,1e-07,0.43015574187315164
0.8,-0.7999999999999999,1e-07,0.43015204262221796
-1.2,-0.7,1e-07,0.43015781556551175
0.8,-0.7,1e-07,0.43015205115549443
-1.2,-0.5999999999999999,1e-07,0.4301592710780851
0.8,-0.5999999999999999,1e-07,0.4301520721979502
-1.2,-0.4999999999999999,1e-07,0.430159669813078
0.8,-0.4999999999999999,1e-07,0.4301521288147674
-1.2,-0.3999999999999999,1e-07,0.43015764332158585
0.8,-0.3999999999999999,1e-07,0.43015230249793346
-1.2,-0.29999999999999993,1e-07,0.4301596616799273
0.8,-0.29999999999999993,1e-07,0.4301529360539351
-1.2,-0.19999999999999996,1e-07,0.4301591909553634
0.8,-0.19999999999999996,1e-07,0.4301553467450952
-1.2,-0.09999999999999987,1e-07,0.4301580396712297
0.8,-0.09999999999999987,1e-07,0.43015944326952044
-1.2,2.220446049250313e-16,1e-07,0.43015796275917234
0.8,2.220446049250313e-16,1e-07,0.4301650882151707
-1.2,0.10000000000000009,1e-07,0.4301592388876033
0.8,0.10000000000000009,1e-07,0.43015150897839255
-1.2,0.20000000000000018,1e-07,0.4301596949542148
0.8,0.20000000000000018,1e-07,0.43015877968565097
-1.2,0.30000000000000004,1e-07,0.4301596346308548
0.8,0.30000000000000004,1e-07,0.430156085788003
