mode,var_pt,rho,criterion,iterations,error,status
Usztywnione A (-1.2),-0.1,0.01,res,10,0.1342833173989026,2
Usztywnione A (-1.2),-0.1,0.001,inc,1,0.5301261371228618,1
Usztywnione A (-1.2),-0.1,0.001,res,13,0.04174151611065041,0
Usztywnione A (-1.2),-0.1,0.0001,inc,1,0.5301261371228618,1
Usztywnione A (-1.2),-0.1,0.0001,res,15,0.003873688236077255,0
Usztywnione A (-1.2),-0.1,1e-05,inc,18,6.086353643297571e-10,0
Usztywnione A (-1.2),-0.1,1e-05,res,16,0.00022305686833312688,0
Usztywnione A (-1.2),-0.1,1e-06,inc,19,1.609823385706477e-15,0
Usztywnione A (-1.2),-0.1,1e-06,res,17,1.6693307170467797e-06,0
Usztywnione A (-1.2),-0.1,1e-07,inc,19,1.609823385706477e-15,0
Usztywnione A (-1.2),-0.1,1e-07,res,17,1.6693307170467797e-06,0
Usztywnione A (-1.2),-0.1,1e-08,inc,19,1.609823385706477e-15,0
Usztywnione A (-1.2),-0.1,1e-08,res,18,6.086353643297571e-10,0
Usztywnione A (-1.2),-0.1,1e-09,inc,19,1.609823385706477e-15,0
Usztywnione A (-1.2),-0.1,1e-09,res,18,6.086353643297571e-10,0
Usztywnione A (-1.2),0.0,0.01,inc,1,0.43015094174262825,1
Usztywnione A (-1.2),0.0,0.01,res,8,0.13451794874983308,2
Usztywnione A (-1.2),0.0,0.001,inc,1,0.43015094174262825,1
Usztywnione A (-1.2),0.0,0.001,res,11,0.0419382671197715,0
Usztywnione A (-1.2),0.0,0.0001,inc,1,0.43015094174262825,1
Usztywnione A (-1.2),0.0,0.0001,res,13,0.00393265342965704,0
Usztywnione A (-1.2),0.0,1e-05,inc,1,0.43015094174262825,1
Usztywnione A (-1.2),0.0,1e-05,res,14,0.00022924625213899263,0
Usztywnione A (-1.2),0.0,1e-06,inc,17,1.8318679906315083e-15,0
Usztywnione A (-1.2),0.0,1e-06,res,15,1.7462427743808462e-06,0
Usztywnione A (-1.2),0.0,1e-07,inc,17,1.8318679906315083e-15,0
Usztywnione A (-1.2),0.0,1e-07,res,15,1.7462427743808462e-06,0
Usztywnione A (-1.2),0.0,1e-08,inc,17,1.8318679906315083e-15,0
Usztywnione A (-1.2),0.0,1e-08,res,16,6.545379238609428e-10,0
Usztywnione A (-1.2),0.0,1e-09,inc,17,1.8318679906315083e-15,0
Usztywnione A (-1.2),0.0,1e-09,res,16,6.545379238609428e-10,0
Usztywnione A (-1.2),0.1,0.01,inc,1,0.33015775348726784,1
Usztywnione A (-1.2),0.1,0.01,res,5,0.16212437682233022,2
Usztywnione A (-1.2),0.1,0.001,inc,1,0.33015775348726784,1
Usztywnione A (-1.2),0.1,0.001,res,9,0.036580861054213654,0
Usztywnione A (-1.2),0.1,0.0001,inc,1,0.33015775348726784,1
Usztywnione A (-1.2),0.1,0.0001,res,11,0.0025152523408246696,0
Usztywnione A (-1.2),0.1,1e-05,inc,1,0.33015775348726784,1
Usztywnione A (-1.2),0.1,1e-05,res,12,0.00010275626796180104,0
Usztywnione A (-1.2),0.1,1e-06,inc,14,7.850664562880638e-11,0
Usztywnione A (-1.2),0.1,1e-06,res,13,4.701143433427646e-07,0
Usztywnione A (-1.2),0.1,1e-07,inc,15,5.551115123125783e-17,0
Usztywnione A (-1.2),0.1,1e-07,res,13,4.701143433427646e-07,0
Usztywnione A (-1.2),0.1,1e-08,inc,15,5.551115123125783e-17,0
Usztywnione A (-1.2),0.1,1e-08,res,13,4.701143433427646e-07,0
Usztywnione A (-1.2),0.1,1e-09,inc,15,5.551115123125783e-17,0
Usztywnione A (-1.2),0.1,1e-09,res,14,7.850664562880638e-11,0
Usztywnione A (-1.2),0.2,0.01,inc,1,0.2301593491232645,1
Usztywnione A (-1.2),0.2,0.01,res,3,0.14744244844112264,2
Usztywnione A (-1.2),0.2,0.001,inc,1,0.2301593491232645,1
Usztywnione A (-1.2),0.2,0.001,res,6,0.05107741539364047,2
Usztywnione A (-1.2),0.2,0.0001,inc,1,0.2301593491232645,1
Usztywnione A (-1.2),0.2,0.0001,res,8,0.00731029745164552,0
Usztywnione A (-1.2),0.2,1e-05,inc,1,0.2301593491232645,1
Usztywnione A (-1.2),0.2,1e-05,res,9,0.0007177814611394329,0
Usztywnione A (-1.2),0.2,1e-06,inc,1,0.2301593491232645,1
Usztywnione A (-1.2),0.2,1e-06,res,10,1.1694222354974304e-05,0
Usztywnione A (-1.2),0.2,1e-07,inc,12,2.657873920952625e-13,0
Usztywnione A (-1.2),0.2,1e-07,res,11,1.404773192215103e-08,0
Usztywnione A (-1.2),0.2,1e-08,inc,13,5.551115123125783e-17,0
Usztywnione A (-1.2),0.2,1e-08,res,11,1.404773192215103e-08,0
Usztywnione A (-1.2),0.2,1e-09,inc,13,5.551115123125783e-17,0
Usztywnione A (-1.2),0.2,1e-09,res,11,1.404773192215103e-08,0
Usztywnione A (-1.2),0.3,0.01,inc,1,0.13015965703815818,1
Usztywnione A (-1.2),0.3,0.01,res,1,0.13015965703815818,2
Usztywnione A (-1.2),0.3,0.001,inc,1,0.13015965703815818,1
Usztywnione A (-1.2),0.3,0.001,res,3,0.05841004758327584,2
Usztywnione A (-1.2),0.3,0.0001,inc,1,0.13015965703815818,1
Usztywnione A (-1.2),0.3,0.0001,res,6,0.001304400806662831,0
Usztywnione A (-1.2),0.3,1e-05,inc,1,0.13015965703815818,1
Usztywnione A (-1.2),0.3,1e-05,res,7,3.313941116539487e-05,0
Usztywnione A (-1.2),0.3,1e-06,inc,1,0.13015965703815818,1
Usztywnione A (-1.2),0.3,1e-06,res,7,3.313941116539487e-05,0
Usztywnione A (-1.2),0.3,1e-07,inc,1,0.13015965703815818,1
Usztywnione A (-1.2),0.3,1e-07,res,8,7.437109050822954e-08,0
Usztywnione A (-1.2),0.3,1e-08,inc,10,0.0,0
Usztywnione A (-1.2),0.3,1e-08,res,8,7.437109050822954e-08,0
Usztywnione A (-1.2),0.3,1e-09,inc,10,0.0,0
Usztywnione A (-1.2),0.3,1e-09,res,8,7.437109050822954e-08,0
Usztywnione A (-1.2),0.4,0.01,inc,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,0.01,res,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,0.001,inc,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,0.001,res,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,0.0001,inc,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,0.0001,res,2,0.004747511301791074,0
Usztywnione A (-1.2),0.4,1e-05,inc,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,1e-05,res,3,0.0005741319256071242,0
Usztywnione A (-1.2),0.4,1e-06,inc,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,1e-06,res,4,5.519733843328822e-06,0
Usztywnione A (-1.2),0.4,1e-07,inc,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,1e-07,res,4,5.519733843328822e-06,0
Usztywnione A (-1.2),0.4,1e-08,inc,1,0.03015970473141799,0
Usztywnione A (-1.2),0.4,1e-08,res,5,5.266945102277987e-09,0
Usztywnione A (-1.2),0.4,1e-09,inc,7,0.0,0
Usztywnione A (-1.2),0.4,1e-09,res,5,5.266945102277987e-09,0
Usztywnione A (-1.2),0.5,0.01,inc,1,0.06984027924799258,1
Usztywnione A (-1.2),0.5,0.01,res,1,0.06984027924799258,2
Usztywnione A (-1.2),0.5,0.001,inc,1,0.06984027924799258,1
Usztywnione A (-1.2),0.5,0.001,res,1,0.06984027924799258,2
Usztywnione A (-1.2),0.5,0.0001,inc,1,0.06984027924799258,1
Usztywnione A (-1.2),0.5,0.0001,res,3,0.006524516283269277,0
Usztywnione A (-1.2),0.5,1e-05,inc,1,0.06984027924799258,1
Usztywnione A (-1.2),0.5,1e-05,res,4,0.00010834469514819922,0
Usztywnione A (-1.2),0.5,1e-06,inc,1,0.06984027924799258,1
Usztywnione A (-1.2),0.5,1e-06,res,5,7.775919270702758e-07,0
Usztywnione A (-1.2),0.5,1e-07,inc,1,0.06984027924799258,1
Usztywnione A (-1.2),0.5,1e-07,res,5,7.775919270702758e-07,0
Usztywnione A (-1.2),0.5,1e-08,inc,7,1.6653345369377348e-16,0
Usztywnione A (-1.2),0.5,1e-08,res,5,7.775919270702758e-07,0
Usztywnione A (-1.2),0.5,1e-09,inc,7,1.6653345369377348e-16,0
Usztywnione A (-1.2),0.5,1e-09,res,6,1.3554130040560608e-10,0
Usztywnione A (-1.2),0.6,0.01,inc,1,0.16984021149436151,1
Usztywnione A (-1.2),0.6,0.01,res,1,0.16984021149436151,2
Usztywnione A (-1.2),0.6,0.001,inc,1,0.16984021149436151,1
Usztywnione A (-1.2),0.6,0.001,res,4,0.04127237690550856,0
Usztywnione A (-1.2),0.6,0.0001,inc,1,0.16984021149436151,1
Usztywnione A (-1.2),0.6,0.0001,res,6,0.0014563097078745257,0
Usztywnione A (-1.2),0.6,1e-05,inc,1,0.16984021149436151,1
Usztywnione A (-1.2),0.6,1e-05,res,7,7.625746361317187e-06,0
Usztywnione A (-1.2),0.6,1e-06,inc,1,0.16984021149436151,1
Usztywnione A (-1.2),0.6,1e-06,res,7,7.625746361317187e-06,0
Usztywnione A (-1.2),0.6,1e-07,inc,1,0.16984021149436151,1
Usztywnione A (-1.2),0.6,1e-07,res,7,7.625746361317187e-06,0
Usztywnione A (-1.2),0.6,1e-08,inc,10,0.0,0
Usztywnione A (-1.2),0.6,1e-08,res,8,1.6711480754771912e-08,0
Usztywnione A (-1.2),0.6,1e-09,inc,10,0.0,0
Usztywnione A (-1.2),0.6,1e-09,res,8,1.6711480754771912e-08,0
Usztywnione A (-1.2),0.7,0.01,inc,1,0.26983989888335297,1
Usztywnione A (-1.2),0.7,0.01,res,2,0.19984027455743897,2
Usztywnione A (-1.2),0.7,0.001,inc,1,0.26983989888335297,1
Usztywnione A (-1.2),0.7,0.001,res,6,0.045311104292578785,0
Usztywnione A (-1.2),0.7,0.0001,inc,1,0.26983989888335297,1
Usztywnione A (-1.2),0.7,0.0001,res,8,0.0021187619842545358,0
Usztywnione A (-1.2),0.7,1e-05,inc,1,0.26983989888335297,1
Usztywnione A (-1.2),0.7,1e-05,res,9,4.522749335711396e-06,0
Usztywnione A (-1.2),0.7,1e-06,inc,1,0.26983989888335297,1
Usztywnione A (-1.2),0.7,1e-06,res,9,4.522749335711396e-06,0
Usztywnione A (-1.2),0.7,1e-07,inc,11,1.0186296250935811e-13,0
Usztywnione A (-1.2),0.7,1e-07,res,9,4.522749335711396e-06,0
Usztywnione A (-1.2),0.7,1e-08,inc,12,0.0,0
Usztywnione A (-1.2),0.7,1e-08,res,10,1.3923915187508129e-08,0
Usztywnione A (-1.2),0.7,1e-09,inc,12,0.0,0
Usztywnione A (-1.2),0.7,1e-09,res,10,1.3923915187508129e-08,0
Usztywnione A (-1.2),0.8,0.01,inc,1,0.36983872204857876,1
Usztywnione A (-1.2),0.8,0.01,res,4,0.19641438301993025,2
Usztywnione A (-1.2),0.8,0.001,inc,1,0.36983872204857876,1
Usztywnione A (-1.2),0.8,0.001,res,8,0.03989560975541501,0
Usztywnione A (-1.2),0.8,0.0001,inc,1,0.36983872204857876,1
Usztywnione A (-1.2),0.8,0.0001,res,10,0.0011845418961247134,0
Usztywnione A (-1.2),0.8,1e-05,inc,1,0.36983872204857876,1
Usztywnione A (-1.2),0.8,1e-05,res,11,7.673175740297022e-06,0
Usztywnione A (-1.2),0.8,1e-06,inc,13,1.7219559111936178e-13,0
Usztywnione A (-1.2),0.8,1e-06,res,11,7.673175740297022e-06,0
Usztywnione A (-1.2),0.8,1e-07,inc,13,1.7219559111936178e-13,0
Usztywnione A (-1.2),0.8,1e-07,res,11,7.673175740297022e-06,0
Usztywnione A (-1.2),0.8,1e-08,inc,14,0.0,0
Usztywnione A (-1.2),0.8,1e-08,res,12,1.386935705172121e-08,0
Usztywnione A (-1.2),0.8,1e-09,inc,14,0.0,0
Usztywnione A (-1.2),0.8,1e-09,res,12,1.386935705172121e-08,0
Usztywnione B (0.8),-1.2,0.01,inc,2,0.3698371531311045,1
Usztywnione B (0.8),-1.2,0.01,res,5,0.1964131542227165,2
Usztywnione B (0.8),-1.2,0.001,inc,2,0.3698371531311045,1
Usztywnione B (0.8),-1.2,0.001,res,9,0.03989476631073269,0
Usztywnione B (0.8),-1.2,0.0001,inc,2,0.3698371531311045,1
Usztywnione B (0.8),-1.2,0.0001,res,11,0.001184424409322482,0
Usztywnione B (0.8),-1.2,1e-05,inc,2,0.3698371531311045,1
Usztywnione B (0.8),-1.2,1e-05,res,12,7.672912442746593e-06,0
Usztywnione B (0.8),-1.2,1e-06,inc,14,1.7214007996813052e-13,0
Usztywnione B (0.8),-1.2,1e-06,res,12,7.672912442746593e-06,0
Usztywnione B (0.8),-1.2,1e-07,inc,14,1.7214007996813052e-13,0
Usztywnione B (0.8),-1.2,1e-07,res,12,7.672912442746593e-06,0
Usztywnione B (0.8),-1.2,1e-08,inc,15,0.0,0
Usztywnione B (0.8),-1.2,1e-08,res,13,1.3867588299909528e-08,0
Usztywnione B (0.8),-1.2,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-1.2,1e-09,res,13,1.3867588299909528e-08,0
Usztywnione B (0.8),-1.1,0.01,inc,2,0.36983430134832956,1
Usztywnione B (0.8),-1.1,0.01,res,5,0.1964113663746599,2
Usztywnione B (0.8),-1.1,0.001,inc,2,0.36983430134832956,1
Usztywnione B (0.8),-1.1,0.001,res,9,0.03989352516893391,0
Usztywnione B (0.8),-1.1,0.0001,inc,2,0.36983430134832956,1
Usztywnione B (0.8),-1.1,0.0001,res,11,0.0011842515034402035,0
Usztywnione B (0.8),-1.1,1e-05,inc,2,0.36983430134832956,1
Usztywnione B (0.8),-1.1,1e-05,res,12,7.672524761637156e-06,0
Usztywnione B (0.8),-1.1,1e-06,inc,14,1.7208456881689926e-13,0
Usztywnione B (0.8),-1.1,1e-06,res,12,7.672524761637156e-06,0
Usztywnione B (0.8),-1.1,1e-07,inc,14,1.7208456881689926e-13,0
Usztywnione B (0.8),-1.1,1e-07,res,12,7.672524761637156e-06,0
Usztywnione B (0.8),-1.1,1e-08,inc,15,5.551115123125783e-17,0
Usztywnione B (0.8),-1.1,1e-08,res,13,1.3864984993450236e-08,0
Usztywnione B (0.8),-1.1,1e-09,inc,15,5.551115123125783e-17,0
Usztywnione B (0.8),-1.1,1e-09,res,13,1.3864984993450236e-08,0
Usztywnione B (0.8),-1.0,0.01,inc,2,0.3698284946509031,1
Usztywnione B (0.8),-1.0,0.01,res,5,0.19640772598663597,2
Usztywnione B (0.8),-1.0,0.001,inc,2,0.3698284946509031,1
Usztywnione B (0.8),-1.0,0.001,res,9,0.03989099799921908,0
Usztywnione B (0.8),-1.0,0.0001,inc,2,0.3698284946509031,1
Usztywnione B (0.8),-1.0,0.0001,res,11,0.0011838994902396704,0
