start_point,rho,criterion,iterations,error,status
-0.1,1e-08,inc,13,0.0,0
-0.1,1e-08,res,12,6.428355070475789e-10,0
-0.1,1e-09,inc,13,0.0,0
-0.1,1e-09,res,12,6.428355070475789e-10,0
0.0,0.01,inc,10,8.787508196106408e-07,0
0.0,0.01,res,5,0.13841208433744445,2
0.0,0.001,inc,10,8.787508196106408e-07,0
0.0,0.001,res,7,0.04820905014837018,0
0.0,0.0001,inc,11,1.2488898804008386e-12,0
0.0,0.0001,res,9,0.0007132558208636786,0
0.0,1e-05,inc,11,1.2488898804008386e-12,0
0.0,1e-05,res,9,0.0007132558208636786,0
0.0,1e-06,inc,11,1.2488898804008386e-12,0
0.0,1e-06,res,10,8.787508196106408e-07,0
0.0,1e-07,inc,12,0.0,0
0.0,1e-07,res,10,8.787508196106408e-07,0
0.0,1e-08,inc,12,0.0,0
0.0,1e-08,res,10,8.787508196106408e-07,0
0.0,1e-09,inc,12,0.0,0
0.0,1e-09,res,11,1.2488898804008386e-12,0
0.1,0.01,inc,8,3.7571727186713755e-05,0
0.1,0.01,res,3,0.16189459843693038,2
0.1,0.001,inc,9,2.291055956060717e-09,0
0.1,0.001,res,6,0.028376274367415633,0
0.1,0.0001,inc,9,2.291055956060717e-09,0
0.1,0.0001,res,7,0.004094616936509976,0
0.1,1e-05,inc,10,0.0,0
0.1,1e-05,res,8,3.7571727186713755e-05,0
0.1,1e-06,inc,10,0.0,0
0.1,1e-06,res,8,3.7571727186713755e-05,0
0.1,1e-07,inc,10,0.0,0
0.1,1e-07,res,9,2.291055956060717e-09,0
0.1,1e-08,inc,10,0.0,0
0.1,1e-08,res,9,2.291055956060717e-09,0
0.1,1e-09,inc,11,5.551115123125783e-17,0
0.1,1e-09,res,9,2.291055956060717e-09,0
0.2,0.01,inc,6,0.00022248395723301062,0
0.2,0.01,res,2,0.12706198140257163,2
0.2,0.001,inc,7,8.1751912794914e-08,0
0.2,0.001,res,4,0.03902905544900015,0
0.2,0.0001,inc,8,1.0769163338864018e-14,0
0.2,0.0001,res,5,0.008738124660458924,0
0.2,1e-05,inc,8,1.0769163338864018e-14,0
0.2,1e-05,res,6,0.00022248395723301062,0
0.2,1e-06,inc,8,1.0769163338864018e-14,0
0.2,1e-06,res,7,8.1751912794914e-08,0
0.2,1e-07,inc,8,1.0769163338864018e-14,0
0.2,1e-07,res,7,8.1751912794914e-08,0
0.2,1e-08,inc,9,0.0,0
0.2,1e-08,res,7,8.1751912794914e-08,0
0.2,1e-09,inc,9,0.0,0
0.2,1e-09,res,7,8.1751912794914e-08,0
0.3,0.01,inc,4,0.0003131303565728216,0
0.3,0.01,res,1,0.08364108763038036,2
0.3,0.001,inc,5,1.633123769551048e-07,0
0.3,0.001,res,2,0.04149965009008616,0
0.3,0.0001,inc,6,4.3076653355456074e-14,0
0.3,0.0001,res,4,0.0003131303565728216,0
0.3,1e-05,inc,6,4.3076653355456074e-14,0
0.3,1e-05,res,4,0.0003131303565728216,0
0.3,1e-06,inc,6,4.3076653355456074e-14,0
0.3,1e-06,res,5,1.633123769551048e-07,0
0.3,1e-07,inc,7,5.551115123125783e-17,0
0.3,1e-07,res,5,1.633123769551048e-07,0
0.3,1e-08,inc,7,5.551115123125783e-17,0
0.3,1e-08,res,5,1.633123769551048e-07,0
0.3,1e-09,inc,7,5.551115123125783e-17,0
0.3,1e-09,res,6,4.3076653355456074e-14,0
0.4,0.01,inc,2,5.269878741553935e-05,0
0.4,0.01,res,1,0.004747512105581608,0
0.4,0.001,inc,3,4.513782625448215e-09,0
0.4,0.001,res,1,0.004747512105581608,0
0.4,0.0001,inc,3,4.513782625448215e-09,0
0.4,0.0001,res,1,0.004747512105581608,0
0.4,1e-05,inc,4,0.0,0
0.4,1e-05,res,2,5.269878741553935e-05,0
0.4,1e-06,inc,4,0.0,0
0.4,1e-06,res,2,5.269878741553935e-05,0
0.4,1e-07,inc,4,0.0,0
0.4,1e-07,res,3,4.513782625448215e-09,0
0.4,1e-08,inc,4,0.0,0
0.4,1e-08,res,3,4.513782625448215e-09,0
0.4,1e-09,inc,5,5.551115123125783e-17,0
0.4,1e-09,res,3,4.513782625448215e-09,0
0.5,0.01,inc,3,1.6121747081765392e-06,0
0.5,0.01,res,1,0.02357163428163539,0
0.5,0.001,inc,4,4.203803971591924e-12,0
0.5,0.001,res,1,0.02357163428163539,0
0.5,0.0001,inc,4,4.203803971591924e-12,0
0.5,0.0001,res,2,0.0010531188470517816,0
0.5,1e-05,inc,4,4.203803971591924e-12,0
0.5,1e-05,res,3,1.6121747081765392e-06,0
0.5,1e-06,inc,5,0.0,0
0.5,1e-06,res,3,1.6121747081765392e-06,0
0.5,1e-07,inc,5,0.0,0
0.5,1e-07,res,3,1.6121747081765392e-06,0
0.5,1e-08,inc,5,0.0,0
0.5,1e-08,res,4,4.203803971591924e-12,0
0.5,1e-09,inc,5,0.0,0
0.5,1e-09,res,4,4.203803971591924e-12,0
0.6,0.01,inc,5,2.648069896693528e-08,0
0.6,0.01,res,1,0.10987490473511036,2
0.6,0.001,inc,5,2.648069896693528e-08,0
0.6,0.001,res,2,0.0564838147238943,2
0.6,0.0001,inc,6,1.1102230246251565e-15,0
0.6,0.0001,res,4,0.0001287602454191905,0
0.6,1e-05,inc,6,1.1102230246251565e-15,0
0.6,1e-05,res,4,0.0001287602454191905,0
0.6,1e-06,inc,6,1.1102230246251565e-15,0
0.6,1e-06,res,5,2.648069896693528e-08,0
0.6,1e-07,inc,6,1.1102230246251565e-15,0
0.6,1e-07,res,5,2.648069896693528e-08,0
0.6,1e-08,inc,7,5.551115123125783e-17,0
0.6,1e-08,res,5,2.648069896693528e-08,0
0.6,1e-09,inc,7,5.551115123125783e-17,0
0.6,1e-09,res,5,2.648069896693528e-08,0
0.7,0.01,inc,6,9.436573944920923e-06,0
0.7,0.01,res,1,0.1998404510084501,2
0.7,0.001,inc,7,1.4413686910685897e-10,0
0.7,0.001,res,4,0.03162298705765815,0
0.7,0.0001,inc,7,1.4413686910685897e-10,0
0.7,0.0001,res,5,0.0028334224029955557,0
0.7,1e-05,inc,7,1.4413686910685897e-10,0
0.7,1e-05,res,6,9.436573944920923e-06,0
0.7,1e-06,inc,8,0.0,0
0.7,1e-06,res,6,9.436573944920923e-06,0
0.7,1e-07,inc,8,0.0,0
0.7,1e-07,res,7,1.4413686910685897e-10,0
0.7,1e-08,inc,8,0.0,0
0.7,1e-08,res,7,1.4413686910685897e-10,0
0.7,1e-09,inc,8,0.0,0
0.7,1e-09,res,7,1.4413686910685897e-10,0
0.8,0.01,inc,7,2.5247075824408327e-05,0
0.8,0.01,res,3,0.15304328041120513,2
0.8,0.001,inc,8,1.033296059826938e-09,0
0.8,0.001,res,5,0.04353013265337902,0
0.8,0.0001,inc,8,1.033296059826938e-09,0
0.8,0.0001,res,6,0.007308536817289324,0
0.8,1e-05,inc,9,0.0,0
0.8,1e-05,res,7,2.5247075824408327e-05,0
0.8,1e-06,inc,9,0.0,0
0.8,1e-06,res,7,2.5247075824408327e-05,0
0.8,1e-07,inc,9,0.0,0
0.8,1e-07,res,8,1.033296059826938e-09,0
0.8,1e-08,inc,9,0.0,0
0.8,1e-08,res,8,1.033296059826938e-09,0
0.8,1e-09,inc,10,5.551115123125783e-17,0
0.8,1e-09,res,8,1.033296059826938e-09,0
